无锡木棉花酒店 ,0510-85810111,0510-80266999
汉庭快捷酒店（昆山火车站店） ,0512-57886166,0512-86179918、86179908
锦江之星（昆山火车站店） ,0512-55219222,0512-55218222
锦江之星（昆山花桥商务城店）（原安亭兆丰路店） ,0512-86162678,0512-86162668
昆山长江宾馆 ,0512-57379399,0512-57370551、0512-57370550
昆山纳海宾馆 ,0512-57563698,0512-57596818
昆山速安居酒店 ,0512-55386699,0512-57971699
昆山万川商务宾馆 ,0512-88846328,0512-55213999
昆山优家连锁——雍景湾酒店公寓 ,0512-57189788,0512-57189888
昆山优秀商务酒店 ,0512-57829777,0512-57829888
莫泰168（昆山北门店） ,0512-55199933,0512-55199922
莫泰168（昆山火车站店） ,0512-55211177,0512-55211166
莫泰168（昆山虹桥路店） ,0512-55233399,0512-55233366
莫泰168（昆山人民路店） ,0512-57161999,0512-57538999
莫泰168（昆山同丰路店） ,0512-57031112,0512-57031111
如家快捷酒店（昆山火车站店） ,0512-50370777,0512-50372888
如家快捷酒店（昆山青阳北路店） ,0512-50369766,0512-50369788
